Results,EUR/USD Close
Average,  1.129
Minimum,   1.113
Maximum,   1.154
Std,   0.010
# In Calc, 109

Date,EUR/USD Close
2019-01-01,1.1424
2019-01-02,1.1341
2019-01-03,1.1396
2019-01-04,1.1396
2019-01-07,1.1476
2019-01-08,1.1439
2019-01-09,1.154
2019-01-10,1.1497
2019-01-11,1.1462
2019-01-14,1.1464
2019-01-15,1.1407
2019-01-16,1.1399
2019-01-17,1.139
2019-01-18,1.1363
2019-01-21,1.1368
2019-01-22,1.1361
2019-01-23,1.1381
2019-01-24,1.13
2019-01-25,1.1406
2019-01-28,1.1426
2019-01-29,1.1433
2019-01-30,1.148
2019-01-31,1.1443
2019-02-01,1.1459
2019-02-04,1.1433
2019-02-05,1.141
2019-02-06,1.1363
2019-02-07,1.1351
2019-02-08,1.1324
2019-02-11,1.1276
2019-02-12,1.1332
2019-02-13,1.1266
2019-02-14,1.1299
2019-02-15,1.1298
2019-02-18,1.1308
2019-02-19,1.1335
2019-02-20,1.1347
2019-02-21,1.1328
2019-02-22,1.1333
2019-02-25,1.1362
2019-02-26,1.1394
2019-02-27,1.137
2019-02-28,1.1374
2019-03-01,1.1356
2019-03-04,1.1328
2019-03-05,1.1303
2019-03-06,1.131
2019-03-07,1.1186
2019-03-08,1.1238
2019-03-11,1.1239
2019-03-12,1.1304
2019-03-13,1.1332
2019-03-14,1.1299
2019-03-15,1.1321
2019-03-18,1.1335
2019-03-19,1.1352
2019-03-20,1.1423
2019-03-21,1.1357
2019-03-22,1.1294
2019-03-25,1.1318
2019-03-26,1.1275
2019-03-27,1.1259
2019-03-28,1.1224
2019-03-29,1.1222
2019-04-01,1.1211
2019-04-02,1.1194
2019-04-03,1.1239
2019-04-04,1.1221
2019-04-05,1.1216
2019-04-08,1.126
2019-04-09,1.1262
2019-04-10,1.1264
2019-04-11,1.1275
2019-04-12,1.1297
2019-04-15,1.13
2019-04-16,1.1285
2019-04-17,1.1299
2019-04-18,1.1228
2019-04-19,1.1244
2019-04-22,1.1259
2019-04-23,1.1215
2019-04-24,1.1146
2019-04-25,1.113
2019-04-26,1.1152
2019-04-29,1.1182
2019-04-30,1.1205
2019-05-01,1.1196
2019-05-02,1.1173
2019-05-03,1.1196
2019-05-06,1.1203
2019-05-07,1.1185
2019-05-08,1.119
2019-05-09,1.1223
2019-05-10,1.1228
2019-05-13,1.1227
2019-05-14,1.1205
2019-05-15,1.12
2019-05-16,1.1168
2019-05-17,1.116
2019-05-20,1.1168
2019-05-21,1.1157
2019-05-22,1.1155
2019-05-23,1.118
2019-05-24,1.1205
2019-05-27,1.1196
2019-05-28,1.1163
2019-05-29,1.1134
2019-05-30,1.1135
2019-05-31,1.1172
